architecture_family_id,architecture_family_label,agreements,rank_within_family,index_name,family_mean,overall_mean,deviation_from_sample
1,Trade Facilitation and Regulatory Governance Architecture,21,1,TFC_transparency,0.7857142857142857,0.38161993769470415,0.40409434801958155
1,Trade Facilitation and Regulatory Governance Architecture,21,2,labor_monitoring,0.49206349206349204,0.17964693665628248,0.3124165554072096
1,Trade Facilitation and Regulatory Governance Architecture,21,3,labor_object,0.5952380952380952,0.29127725856697806,0.3039608366711172
1,Trade Facilitation and Regulatory Governance Architecture,21,4,TFC_fees,0.5396825396825397,0.24922118380062305,0.29046135588191657
1,Trade Facilitation and Regulatory Governance Architecture,21,5,labor_cooperation,0.5238095238095238,0.23987538940809958,0.28393413440142423
1,Trade Facilitation and Regulatory Governance Architecture,21,6,SPS_framework,0.8,0.5289719626168224,0.2710280373831776
1,Trade Facilitation and Regulatory Governance Architecture,21,7,labor_substance,0.42063492063492064,0.15290758047767397,0.26772734015724664
1,Trade Facilitation and Regulatory Governance Architecture,21,8,TBT_framework,0.6349206349206349,0.367601246105919,0.2673193888147159
1,Trade Facilitation and Regulatory Governance Architecture,21,9,TFC_border_efficiency,0.4358974358974359,0.16990174934100166,0.26599568655643424
1,Trade Facilitation and Regulatory Governance Architecture,21,10,env_object,0.5333333333333333,0.291588785046729,0.2417445482866043
1,Trade Facilitation and Regulatory Governance Architecture,21,11,TBT_DS,0.888888888888889,0.6713395638629284,0.21754932502596058
1,Trade Facilitation and Regulatory Governance Architecture,21,12,export_admin_fee,0.380952380952381,0.16386292834890964,0.21708945260347134
1,Trade Facilitation and Regulatory Governance Architecture,21,13,TBT_transparency,0.47619047619047616,0.26998961578400826,0.2062008604064679
1,Trade Facilitation and Regulatory Governance Architecture,21,14,export_coo,0.6507936507936508,0.4603669089650398,0.19042674182861102
1,Trade Facilitation and Regulatory Governance Architecture,21,15,serv_DR,0.5102040816326531,0.34131619937694707,0.168887882255706
1,Trade Facilitation and Regulatory Governance Architecture,21,16,RoO_additional_flex,0.8492063492063492,0.6832814122533749,0.16592493695297428
1,Trade Facilitation and Regulatory Governance Architecture,21,17,serv_safeguard,0.3968253968253968,0.2512980269989615,0.14552736982643533
1,Trade Facilitation and Regulatory Governance Architecture,21,18,TFC_origin_admin,0.7238095238095238,0.5794392523364484,0.14437027147307535
1,Trade Facilitation and Regulatory Governance Architecture,21,19,env_enforcement,0.4642857142857143,0.3208722741433021,0.1434134401424122
1,Trade Facilitation and Regulatory Governance Architecture,21,20,TBT_conformity_assess,0.24603174603174605,0.10903426791277256,0.1369974781189735
1,Trade Facilitation and Regulatory Governance Architecture,21,21,TFC_procedural_simplification,0.34285714285714286,0.20841121495327103,0.13444592790387183
1,Trade Facilitation and Regulatory Governance Architecture,21,22,env_trade,0.42857142857142855,0.3008455718736093,0.12772585669781927
1,Trade Facilitation and Regulatory Governance Architecture,21,23,serv_transparency,0.49702380952380953,0.38765576323987544,0.1093680462839341
1,Trade Facilitation and Regulatory Governance Architecture,21,24,SPS_institutions,0.37566137566137564,0.26791277258566976,0.10774860307570588
1,Trade Facilitation and Regulatory Governance Architecture,21,25,RoO_certification,0.6054421768707483,0.5009642486278,0.10447792824294833
1,Trade Facilitation and Regulatory Governance Architecture,21,26,CD_lev2,0.2786596119929453,0.17859409253490255,0.10006551945804276
1,Trade Facilitation and Regulatory Governance Architecture,21,27,IPR_treaty_incorporation,0.38095238095238093,0.2834890965732088,0.09746328437917212
1,Trade Facilitation and Regulatory Governance Architecture,21,28,IPR_country_designations,0.16666666666666669,0.07009345794392514,0.09657320872274154
1,Trade Facilitation and Regulatory Governance Architecture,21,29,SPS_cooperation,0.24404761904761904,0.1588785046728972,0.08516911437472185
1,Trade Facilitation and Regulatory Governance Architecture,21,30,TFC_cooperation,0.41558441558441556,0.33163409798923815,0.0839503175951774
1,Trade Facilitation and Regulatory Governance Architecture,21,31,CD_Subsidies,0.19047619047619047,0.10747663551401866,0.0829995549621718
1,Trade Facilitation and Regulatory Governance Architecture,21,32,serv_roo,0.3769841269841269,0.2995846313603322,0.07739949562379472
1,Trade Facilitation and Regulatory Governance Architecture,21,33,export_quota_qr,0.42857142857142855,0.35180240320427236,0.07676902536715619
1,Trade Facilitation and Regulatory Governance Architecture,21,34,subsid_enforcement,0.5102040816326531,0.4334668446817979,0.07673723695085516
1,Trade Facilitation and Regulatory Governance Architecture,21,35,TBT_standards,0.14285714285714285,0.06853582554517135,0.0743213173119715
1,Trade Facilitation and Regulatory Governance Architecture,21,36,IPR_biodiversity_TK,0.16666666666666669,0.09345794392523366,0.07320872274143303
1,Trade Facilitation and Regulatory Governance Architecture,21,37,serv_mobility,0.2698412698412698,0.20664589823468327,0.06319537160658656
1,Trade Facilitation and Regulatory Governance Architecture,21,38,SPS_transparency,0.3968253968253968,0.33367947386638974,0.06314592295900706
1,Trade Facilitation and Regulatory Governance Architecture,21,39,serv_exc,0.4126984126984127,0.3505538248528902,0.06214458784552246
1,Trade Facilitation and Regulatory Governance Architecture,21,40,RoO_verification,0.30158730158730157,0.24091381100726897,0.0606734905800326
1,Trade Facilitation and Regulatory Governance Architecture,21,41,AD_Regime,0.6666666666666666,0.608515057113188,0.058151609553478645
1,Trade Facilitation and Regulatory Governance Architecture,21,42,TBT_tech_reg,0.14285714285714285,0.08670820353063344,0.05614893932650941
1,Trade Facilitation and Regulatory Governance Architecture,21,43,env_promoting,0.21428571428571427,0.16043613707165114,0.05384957721406314
1,Trade Facilitation and Regulatory Governance Architecture,21,44,MoC_prudential_measures,0.48214285714285715,0.43068535825545173,0.05145749888740542
1,Trade Facilitation and Regulatory Governance Architecture,21,45,subsid_object_coverage,0.6785714285714286,0.6304517133956387,0.048119715175789946
1,Trade Facilitation and Regulatory Governance Architecture,21,46,export_NTM,0.25,0.20560747663551415,0.04439252336448585
1,Trade Facilitation and Regulatory Governance Architecture,21,47,SPS_standards,0.20238095238095238,0.16160436137071651,0.04077659101023587
1,Trade Facilitation and Regulatory Governance Architecture,21,48,serv_market_access,0.41798941798941797,0.3781585323641399,0.03983088562527809
1,Trade Facilitation and Regulatory Governance Architecture,21,49,subsid_substantive,0.29365079365079366,0.25651373548569806,0.037137058165095604
1,Trade Facilitation and Regulatory Governance Architecture,21,50,env_MEA_compl,0.09523809523809523,0.062305295950155756,0.032932799287939477
1,Trade Facilitation and Regulatory Governance Architecture,21,51,subsid_transparency,0.22619047619047622,0.19392523364485972,0.032265242545616496
1,Trade Facilitation and Regulatory Governance Architecture,21,52,TBT_cooperation,0.2698412698412698,0.23987538940809974,0.029965880433170083
1,Trade Facilitation and Regulatory Governance Architecture,21,53,IPR_treaty_accession,0.1746031746031746,0.1460020768431983,0.028601097759976296
1,Trade Facilitation and Regulatory Governance Architecture,21,54,CD_regime,0.5714285714285714,0.5462097611630321,0.025218810265539293
1,Trade Facilitation and Regulatory Governance Architecture,21,55,IPR_enforcement,0.1883116883116883,0.16723307844803176,0.021078609863656533
1,Trade Facilitation and Regulatory Governance Architecture,21,56,SPS_audit,0.09523809523809525,0.07538940809968848,0.019848687138406762
1,Trade Facilitation and Regulatory Governance Architecture,21,57,export_agriculture,0.11904761904761903,0.09968847352024922,0.01935914552736981
1,Trade Facilitation and Regulatory Governance Architecture,21,58,AD_lev2,0.17229902713773682,0.15626570193950357,0.01603332519823325
1,Trade Facilitation and Regulatory Governance Architecture,21,59,RoO_sourcing_flex,0.4261904761904762,0.411993769470405,0.014196706720071173
1,Trade Facilitation and Regulatory Governance Architecture,21,60,IPR_Gis,0.12244897959183673,0.10992434356920341,0.012524636022633318
1,Trade Facilitation and Regulatory Governance Architecture,21,61,IPR_coordination,0.15476190476190477,0.14563862928348906,0.00912327547841571
1,Trade Facilitation and Regulatory Governance Architecture,21,62,VA_exc,0.2476190476190476,0.23925233644859825,0.008366711170449348
1,Trade Facilitation and Regulatory Governance Architecture,21,63,IPR_exhaustion,0.4523809523809524,0.44859813084112143,0.0037828215398309495
1,Trade Facilitation and Regulatory Governance Architecture,21,64,subsid_misc,0.07142857142857144,0.06853582554517137,0.0028927458834000636
1,Trade Facilitation and Regulatory Governance Architecture,21,65,IPR_data_protect,0.08571428571428572,0.08348909657320867,0.0022251891410770414
1,Trade Facilitation and Regulatory Governance Architecture,21,66,IPR_TMs,0.09841269841269842,0.09698857736240916,0.0014241210502892593
1,Trade Facilitation and Regulatory Governance Architecture,21,67,MoC_exceptions,0.3968253968253968,0.39979231568016615,-0.0029669188547693515
1,Trade Facilitation and Regulatory Governance Architecture,21,68,PP_Overview,0.32142857142857145,0.3271028037383178,-0.005674232309746341
1,Trade Facilitation and Regulatory Governance Architecture,21,69,PP_transparency,0.14285714285714285,0.15070093457943928,-0.007843791722296434
1,Trade Facilitation and Regulatory Governance Architecture,21,70,IPR_industrial_designs,0.08333333333333334,0.09267912772585672,-0.00934579439252338
1,Trade Facilitation and Regulatory Governance Architecture,21,71,soe_misc,0,0.012461059190031152,-0.012461059190031152
1,Trade Facilitation and Regulatory Governance Architecture,21,72,MoC_safeguards,0.3945578231292517,0.407543391188251,-0.012985568058999308
1,Trade Facilitation and Regulatory Governance Architecture,21,73,env_protect,0.10822510822510821,0.12121212121212128,-0.012987012987013075
1,Trade Facilitation and Regulatory Governance Architecture,21,74,soe_SDT,0,0.01401869158878507,-0.01401869158878507
1,Trade Facilitation and Regulatory Governance Architecture,21,75,IPR_copyright,0.2312925170068027,0.24543836226079213,-0.01414584525398943
1,Trade Facilitation and Regulatory Governance Architecture,21,76,env_external_assist,0.23809523809523808,0.25233644859813087,-0.014241210502892787
1,Trade Facilitation and Regulatory Governance Architecture,21,77,soe_substantive,0.3373015873015873,0.3530633437175493,-0.015761756415962003
1,Trade Facilitation and Regulatory Governance Architecture,21,78,PP_coverage,0.24223602484472048,0.2591087633753216,-0.016872738530601145
1,Trade Facilitation and Regulatory Governance Architecture,21,79,PP_procedural_disciplines,0.21666666666666667,0.23445482866043618,-0.017788161993769508
1,Trade Facilitation and Regulatory Governance Architecture,21,80,IPR_patents,0.08843537414965986,0.10903426791277263,-0.02059889376311276
1,Trade Facilitation and Regulatory Governance Architecture,21,81,RoO_value_content,0.6496598639455782,0.6710666369974781,-0.021406773051899974
1,Trade Facilitation and Regulatory Governance Architecture,21,82,PP_DS,0.23809523809523808,0.2601246105919003,-0.022029372496662203
1,Trade Facilitation and Regulatory Governance Architecture,21,83,CP_cooperation,0.1746031746031746,0.19937694704049844,-0.024773772437323843
1,Trade Facilitation and Regulatory Governance Architecture,21,84,soe_transparency,0.08571428571428573,0.11277258566978195,-0.027058299955496218
1,Trade Facilitation and Regulatory Governance Architecture,21,85,export_licensing,0,0.028660436137071626,-0.028660436137071626
1,Trade Facilitation and Regulatory Governance Architecture,21,86,IPR_transparency,0.05952380952380952,0.0883956386292834,-0.02887182910547388
1,Trade Facilitation and Regulatory Governance Architecture,21,87,SPS_risk_assess,0.09523809523809523,0.1246105919003115,-0.029372496662216266
1,Trade Facilitation and Regulatory Governance Architecture,21,88,subsid_SDT,0.023809523809523798,0.054517133956386306,-0.030707610146862508
1,Trade Facilitation and Regulatory Governance Architecture,21,89,PP_non_discrim,0.08225108225108226,0.11384876805437552,-0.031597685803293266
1,Trade Facilitation and Regulatory Governance Architecture,21,90,VA_movement_facilitation,0.2328042328042328,0.2644513672551056,-0.031647134450872805
1,Trade Facilitation and Regulatory Governance Architecture,21,91,soe_object_coverage,0.37742504409171074,0.4125995154032537,-0.03517447131154294
1,Trade Facilitation and Regulatory Governance Architecture,21,92,CP_procedural_fairness,0.1111111111111111,0.1505711318795431,-0.039460020768432
1,Trade Facilitation and Regulatory Governance Architecture,21,93,export_taxes,0.2579365079365079,0.3006230529595016,-0.04268654502299368
1,Trade Facilitation and Regulatory Governance Architecture,21,94,PP_new _issues,0.08333333333333334,0.1285046728971963,-0.04517133956386296
1,Trade Facilitation and Regulatory Governance Architecture,21,95,IPR_NT,0.16666666666666669,0.21339563862928343,-0.046728971962616744
1,Trade Facilitation and Regulatory Governance Architecture,21,96,VA_coverage,0.0582010582010582,0.10591900311526484,-0.04771794491420664
1,Trade Facilitation and Regulatory Governance Architecture,21,97,VA_framework_gov,0.023809523809523798,0.07398753894080994,-0.05017801513128614
1,Trade Facilitation and Regulatory Governance Architecture,21,98,invest_scop_def,0.4588744588744589,0.5094873973378646,-0.050612938463405754
1,Trade Facilitation and Regulatory Governance Architecture,21,99,service_DS,0.30158730158730135,0.35306334371754927,-0.05147604213024792
1,Trade Facilitation and Regulatory Governance Architecture,21,100,CP_framework,0.12698412698412698,0.17912772585669784,-0.05214359887257086
1,Trade Facilitation and Regulatory Governance Architecture,21,101,serv_other,0.17099567099567098,0.22883035967148113,-0.05783468867581015
1,Trade Facilitation and Regulatory Governance Architecture,21,102,soe_enforcement,0.1619047619047619,0.2236760124610592,-0.061771250556297286
1,Trade Facilitation and Regulatory Governance Architecture,21,103,VA_DS,0.11111111111111112,0.17757009345794394,-0.06645898234683283
1,Trade Facilitation and Regulatory Governance Architecture,21,104,CP_objectives,0.4464285714285714,0.5167445482866043,-0.07031597685803292
1,Trade Facilitation and Regulatory Governance Architecture,21,105,MoC_DS,0.42857142857142855,0.5,-0.07142857142857145
1,Trade Facilitation and Regulatory Governance Architecture,21,106,CP_substantive,0.25396825396825395,0.328141225337487,-0.074172971369233065
1,Trade Facilitation and Regulatory Governance Architecture,21,107,inbest_soc_reg,0.026455026455026454,0.10938040844582901,-0.08292538199080256
1,Trade Facilitation and Regulatory Governance Architecture,21,108,serv_struc,0.23015873015873017,0.3154205607476635,-0.08526183058893333
1,Trade Facilitation and Regulatory Governance Architecture,21,109,CP_exeptions,0.5555555555555556,0.6573208722741433,-0.10176531671858768
1,Trade Facilitation and Regulatory Governance Architecture,21,110,invest_protect,0.2804232804232804,0.41190723433714094,-0.13148395391386053
1,Trade Facilitation and Regulatory Governance Architecture,21,111,invest_transparency,0.011904761904761904,0.14719626168224292,-0.135291499777481
1,Trade Facilitation and Regulatory Governance Architecture,21,112,MoC_exclusions,0.012987012987012984,0.20504106485414897,-0.19205405186713598
1,Trade Facilitation and Regulatory Governance Architecture,21,113,invest_lib,0.15986394557823128,0.35781041388518026,-0.19794646830694898
1,Trade Facilitation and Regulatory Governance Architecture,21,114,export_invest,0.015873015873015872,0.22118380062305298,-0.2053107847500371
1,Trade Facilitation and Regulatory Governance Architecture,21,115,MoC_free_transfer,0.10776942355889724,0.31628135759960646,-0.20851193404070922
1,Trade Facilitation and Regulatory Governance Architecture,21,116,invest_DS,0,0.3489096573208722,-0.3489096573208722
2,Minimalist Institutional Architecture,75,1,MoC_prudential_measures,0.5,0.43068535825545173,0.06931464174454827
2,Minimalist Institutional Architecture,75,2,IPR_exhaustion,0.5,0.44859813084112143,0.051401869158878566
2,Minimalist Institutional Architecture,75,3,soe_SDT,0.006666666666666673,0.01401869158878507,-0.007352024922118398
2,Minimalist Institutional Architecture,75,4,soe_misc,0,0.012461059190031152,-0.012461059190031152
2,Minimalist Institutional Architecture,75,5,export_licensing,0,0.028660436137071626,-0.028660436137071626
2,Minimalist Institutional Architecture,75,6,subsid_misc,0.03333333333333334,0.06853582554517137,-0.035202492211838035
2,Minimalist Institutional Architecture,75,7,IPR_patents,0.07142857142857142,0.10903426791277263,-0.0376056964842012
2,Minimalist Institutional Architecture,75,8,RoO_value_content,0.6263174603174603,0.6710666369974781,-0.04474917668001788
2,Minimalist Institutional Architecture,75,9,subsid_SDT,0.006666666666666673,0.054517133956386306,-0.04785046728971963
2,Minimalist Institutional Architecture,75,10,invest_scop_def,0.45696969696969697,0.5094873973378646,-0.052517700368167664
2,Minimalist Institutional Architecture,75,11,VA_framework_gov,0.01999999999999999,0.07398753894080994,-0.053987538940809945
2,Minimalist Institutional Architecture,75,12,AD_lev2,0.10157706093189964,0.15626570193950357,-0.05468864100760393
2,Minimalist Institutional Architecture,75,13,TBT_standards,0.013333333333333341,0.06853582554517135,-0.055202492211838004
2,Minimalist Institutional Architecture,75,14,env_MEA_compl,0.0017777777777777761,0.062305295950155756,-0.06052751817237798
2,Minimalist Institutional Architecture,75,15,SPS_audit,0.013333333333333345,0.07538940809968848,-0.06205607476635514
2,Minimalist Institutional Architecture,75,16,MoC_exceptions,0.3333333333333333,0.39979231568016615,-0.06645898234683284
2,Minimalist Institutional Architecture,75,17,IPR_country_designations,0,0.07009345794392514,-0.07009345794392514
2,Minimalist Institutional Architecture,75,18,export_taxes,0.23,0.3006230529595016,-0.07062305295950158
2,Minimalist Institutional Architecture,75,19,TBT_tech_reg,0.01111111111111111,0.08670820353063344,-0.07559709241952232
