merge_stage,analysis_code,cepii_code,decision
CEPII GeoDist merge,ROU,ROM,Match the modern Romanian code to the historical code used by CEPII
CEPII GeoDist merge,COD,ZAR,Match the modern Democratic Republic of the Congo code to the historical code used by CEPII
